ZipCode,CombinedRate,State,,
80916,0.0763,CO,,
80917,0.0763,CO,,
80918,0.0763,CO,,
80919,0.0763,CO,,
80920,0.0763,CO,,
80921,0.0513,CO,,
80922,0.0763,CO,,
80923,0.0763,CO,,
80924,0.0763,CO,,
80925,0.0513,CO,,
80926,0.0513,CO,,
80927,0.0763,CO,,
80928,0.0513,CO,,
80929,0.0513,CO,,
80930,0.0513,CO,,
80931,0.0513,CO,,
80932,0.0763,CO,,
80933,0.0763,CO,,
80934,0.0763,CO,,
80935,0.0763,CO,,
80936,0.0763,CO,,
80937,0.0763,CO,,
80938,0.0763,CO,,
80939,0.0513,CO,,
80941,0.0763,CO,,
80942,0.0763,CO,,
80944,0.0763,CO,,
80946,0.0763,CO,,
80947,0.0763,CO,,
80949,0.0763,CO,,
80950,0.0763,CO,,
80951,0.0513,CO,,
80960,0.0763,CO,,
80962,0.0763,CO,,
80970,0.0513,CO,,
80977,0.0513,CO,,
80995,0.0763,CO,,
80997,0.0763,CO,,
81001,0.074,CO,,
81002,0.074,CO,,
81003,0.074,CO,,
81004,0.074,CO,,
81005,0.074,CO,,
81006,0.039,CO,,
81007,0.039,CO,,
81008,0.074,CO,,
81009,0.074,CO,,
81010,0.074,CO,,
81011,0.074,CO,,
81012,0.074,CO,,
81019,0.074,CO,,
81020,0.029,CO,,
81021,0.029,CO,,
81022,0.039,CO,,
81023,0.039,CO,,
81024,0.029,CO,,
81025,0.039,CO,,
81027,0.029,CO,,
81029,0.029,CO,,
81030,0.039,CO,,
81033,0.049,CO,,
81034,0.069,CO,,
81036,0.029,CO,,
81038,0.069,CO,,
81039,0.069,CO,,
81040,0.049,CO,,
81041,0.039,CO,,
81043,0.039,CO,,
81044,0.039,CO,,
81045,0.029,CO,,
81046,0.029,CO,,
81047,0.039,CO,,
81049,0.029,CO,,
81050,0.069,CO,,
81052,0.069,CO,,
81054,0.069,CO,,
81055,0.049,CO,,
81057,0.039,CO,,
81058,0.039,CO,,
81059,0.029,CO,,
81062,0.049,CO,,
81063,0.049,CO,,
81064,0.029,CO,,
81067,0.079,CO,,
81069,0.039,CO,,
81071,0.029,CO,,
81073,0.049,CO,,
81076,0.049,CO,,
81077,0.039,CO,,
81081,0.029,CO,,
81082,0.069,CO,,
81084,0.029,CO,,
81087,0.029,CO,,
81089,0.079,CO,,
81090,0.029,CO,,
81091,0.029,CO,,
81092,0.039,CO,,
81101,0.069,CO,,
81102,0.069,CO,,
81120,0.029,CO,,
81121,0.069,CO,,
81122,0.049,CO,,
81123,0.039,CO,,
81124,0.029,CO,,
81125,0.039,CO,,
81126,0.039,CO,,
81128,0.069,CO,,
81129,0.029,CO,,
81130,0.055,CO,,
81131,0.069,CO,,
81132,0.075,CO,,
81133,0.039,CO,,
81135,0.075,CO,,
81136,0.049,CO,,
81137,0.049,CO,,
81138,0.039,CO,,
81140,0.029,CO,,
81141,0.039,CO,,
81143,0.039,CO,,
81144,0.075,CO,,
81146,0.049,CO,,
81147,0.069,CO,,
81148,0.039,CO,,
81149,0.039,CO,,
81151,0.029,CO,,
81152,0.039,CO,,
81154,0.055,CO,,
81155,0.039,CO,,
81157,0.069,CO,,
81201,0.079,CO,,
81210,0.045,CO,,
81211,0.049,CO,,
81212,0.074,CO,,
81215,0.074,CO,,
81220,0.045,CO,,
81221,0.054,CO,,
81222,0.054,CO,,
81223,0.054,CO,,
81224,0.045,CO,,
81225,0.085,CO,,
81226,0.079,CO,,
81227,0.079,CO,,
81228,0.049,CO,,
81230,0.0825,CO,,
81231,0.0825,CO,,
81232,0.079,CO,,
81233,0.054,CO,,
81235,0.079,CO,,
81236,0.049,CO,,
81237,0.045,CO,,
81239,0.045,CO,,
81240,0.054,CO,,
81241,0.069,CO,,
81242,0.069,CO,,
81243,0.045,CO,,
81244,0.054,CO,,
81247,0.0825,CO,,
81248,0.039,CO,,
81251,0.069,CO,,
81252,0.049,CO,,
81253,0.049,CO,,
81290,0.079,CO,,
81301,0.079,CO,,
81302,0.079,CO,,
81303,0.049,CO,,
81320,0.029,CO,,
81321,0.0695,CO,,
81323,0.029,CO,,
81324,0.029,CO,,
81325,0.039,CO,,
81326,0.049,CO,,
81327,0.029,CO,,
81328,0.029,CO,,
81329,0.049,CO,,
81330,0.029,CO,,
81331,0.029,CO,,
81332,0.079,CO,,
81334,0.029,CO,,
81335,0.029,CO,,
81401,0.0795,CO,,
81402,0.0795,CO,,
81403,0.0465,CO,,
81410,0.049,CO,,
81411,0.0465,CO,,
81413,0.049,CO,,
81414,0.049,CO,,
81415,0.049,CO,,
81416,0.079,CO,,
81418,0.049,CO,,
81419,0.049,CO,,
81420,0.049,CO,,
81422,0.0865,CO,,
81423,0.069,CO,,
81424,0.0865,CO,,
81425,0.0465,CO,,
81426,0.039,CO,,
81427,0.079,CO,,
81428,0.049,CO,,
81429,0.0465,CO,,
81430,0.039,CO,,
81431,0.0465,CO,,
81432,0.049,CO,,
81433,0.089,CO,,
81434,0.045,CO,,
81435,0.084,CO,,
81501,0.0765,CO,,
81502,0.0765,CO,,
81503,0.0765,CO,,
81504,0.049,CO,,
81505,0.0765,CO,,
81506,0.0765,CO,,
81507,0.049,CO,,
81520,0.049,CO,,
81521,0.079,CO,,
81522,0.049,CO,,
81523,0.049,CO,,
81524,0.049,CO,,
81525,0.049,CO,,
81526,0.069,CO,,
81527,0.049,CO,,
81601,0.086,CO,,
81602,0.086,CO,,
81610,0.049,CO,,
81611,0.093,CO,,
81612,0.093,CO,,
81615,0.104,CO,,
81620,0.084,CO,,
81621,0.082,CO,,
81623,0.084,CO,,
81624,0.049,CO,,
81625,0.0715,CO,,
81626,0.0715,CO,,
81630,0.049,CO,,
81631,0.084,CO,,
81632,0.044,CO,,
81633,0.049,CO,,
81635,0.039,CO,,
81636,0.0765,CO,,
81637,0.044,CO,,
81638,0.049,CO,,
81639,0.039,CO,,
81640,0.049,CO,,
81641,0.065,CO,,
81642,0.069,CO,,
81643,0.049,CO,,
81645,0.084,CO,,
81646,0.049,CO,,
81647,0.039,CO,,
81648,0.065,CO,,
81649,0.074,CO,,
81650,0.0815,CO,,
81652,0.069,CO,,
81653,0.049,CO,,
81654,0.069,CO,,
81655,0.044,CO,,
81656,0.069,CO,,
81657,0.084,CO,,
81658,0.084,CO,,
6001,0.0635,CT,,
6002,0.0635,CT,,
6006,0.0635,CT,,
6010,0.0635,CT,,
6011,0.0635,CT,,
6013,0.0635,CT,,
6016,0.0635,CT,,
6018,0.0635,CT,,
6019,0.0635,CT,,
6020,0.0635,CT,,
6021,0.0635,CT,,
6022,0.0635,CT,,
6023,0.0635,CT,,
6024,0.0635,CT,,
6025,0.0635,CT,,
6026,0.0635,CT,,
6027,0.0635,CT,,
6028,0.0635,CT,,
6029,0.0635,CT,,
6030,0.0635,CT,,
6031,0.0635,CT,,
6032,0.0635,CT,,
6033,0.0635,CT,,
6034,0.0635,CT,,
6035,0.0635,CT,,
6037,0.0635,CT,,
6039,0.0635,CT,,
6040,0.0635,CT,,
6041,0.0635,CT,,
6042,0.0635,CT,,
6043,0.0635,CT,,
6045,0.0635,CT,,
6050,0.0635,CT,,
6051,0.0635,CT,,
6052,0.0635,CT,,
6053,0.0635,CT,,
6057,0.0635,CT,,
6058,0.0635,CT,,
6059,0.0635,CT,,
6060,0.0635,CT,,
6061,0.0635,CT,,
6062,0.0635,CT,,
6063,0.0635,CT,,
6064,0.0635,CT,,
6065,0.0635,CT,,
6066,0.0635,CT,,
6067,0.0635,CT,,
6068,0.0635,CT,,
6069,0.0635,CT,,
6070,0.0635,CT,,
6071,0.0635,CT,,
6072,0.0635,CT,,
6073,0.0635,CT,,
6074,0.0635,CT,,
6075,0.0635,CT,,
6076,0.0635,CT,,
6077,0.0635,CT,,
6078,0.0635,CT,,
6079,0.0635,CT,,
6080,0.0635,CT,,
6081,0.0635,CT,,
6082,0.0635,CT,,
6083,0.0635,CT,,
6084,0.0635,CT,,
6085,0.0635,CT,,
6087,0.0635,CT,,
6088,0.0635,CT,,
6089,0.0635,CT,,
6090,0.0635,CT,,
6091,0.0635,CT,,
6092,0.0635,CT,,
6093,0.0635,CT,,
6094,0.0635,CT,,
6095,0.0635,CT,,
6096,0.0635,CT,,
6098,0.0635,CT,,
6101,0.0635,CT,,
6102,0.0635,CT,,
6103,0.0635,CT,,
6104,0.0635,CT,,
6105,0.0635,CT,,
6106,0.0635,CT,,
6107,0.0635,CT,,
6108,0.0635,CT,,
6109,0.0635,CT,,
6110,0.0635,CT,,
6111,0.0635,CT,,
6112,0.0635,CT,,
6114,0.0635,CT,,
6115,0.0635,CT,,
6117,0.0635,CT,,
6118,0.0635,CT,,
6119,0.0635,CT,,
6120,0.0635,CT,,
6123,0.0635,CT,,
6126,0.0635,CT,,
6127,0.0635,CT,,
6128,0.0635,CT,,
6129,0.0635,CT,,
6131,0.0635,CT,,
6132,0.0635,CT,,
6133,0.0635,CT,,
6134,0.0635,CT,,
6137,0.0635,CT,,
6138,0.0635,CT,,
6140,0.0635,CT,,
6141,0.0635,CT,,
6142,0.0635,CT,,
6143,0.0635,CT,,
6144,0.0635,CT,,
6145,0.0635,CT,,
6146,0.0635,CT,,
6147,0.0635,CT,,
6150,0.0635,CT,,
6151,0.0635,CT,,
6152,0.0635,CT,,
6153,0.0635,CT,,
6154,0.0635,CT,,
6155,0.0635,CT,,
6156,0.0635,CT,,
6160,0.0635,CT,,
6161,0.0635,CT,,
6167,0.0635,CT,,
6176,0.0635,CT,,
6180,0.0635,CT,,
6183,0.0635,CT,,
6199,0.0635,CT,,
6226,0.0635,CT,,
6230,0.0635,CT,,
6231,0.0635,CT,,
6232,0.0635,CT,,
6233,0.0635,CT,,
6234,0.0635,CT,,
6235,0.0635,CT,,
6237,0.0635,CT,,
6238,0.0635,CT,,
6239,0.0635,CT,,
6241,0.0635,CT,,
6242,0.0635,CT,,
6243,0.0635,CT,,
6244,0.0635,CT,,
6245,0.0635,CT,,
6246,0.0635,CT,,
6247,0.0635,CT,,
6248,0.0635,CT,,
6249,0.0635,CT,,
6250,0.0635,CT,,
