StoreName,ExternalCategory,InternalCategoryByStore,InternalCategoryForOverall,URL
Anthropologie,SWEATERS & CARDIGANS,Sweaters & Cardigans,Sweaters,http://www.anthropologie.com/anthro/category/clothing/shopsale-sweaters.jsp?cm_sp=LEFTNAV-_-SUB_CATEGORY-_-SWEATERS_&_CARDIGANS
Anthropologie,JACKETS & COATS,Jackets & Coats,Jackets & Coats,http://www.anthropologie.com/anthro/category/clothing/shopsale-coats.jsp?cm_sp=LEFTNAV-_-SUB_CATEGORY-_-JACKETS_&_COATS
Anthropologie,JEANS,Denim,Denim,http://www.anthropologie.com/anthro/category/clothing/shopsale-jeans.jsp?cm_sp=LEFTNAV-_-SUB_CATEGORY-_-JEANS
Anthropologie,PANTS,Pants,Bottoms & Rompers,http://www.anthropologie.com/anthro/category/clothing/shopsale-pants.jsp?cm_sp=LEFTNAV-_-SUB_CATEGORY-_-PANTS
Anthropologie,SHORTS & ROMPERS,Shorts & Rompers,Bottoms & Rompers,http://www.anthropologie.com/anthro/category/clothing/shopsale-shorts.jsp?cm_sp=LEFTNAV-_-SUB_CATEGORY-_-SHORTS_&_ROMPERS
Anthropologie,SKIRTS,Skirts,Skirts,http://www.anthropologie.com/anthro/category/clothing/shopsale-skirts.jsp?cm_sp=LEFTNAV-_-SUB_CATEGORY-_-SKIRTS
Anthropologie,SLEEPWEAR & INTIMATES,Sleepwear & Intimates,Accessories,http://www.anthropologie.com/anthro/category/clothing/shopsale-loungewear.jsp?cm_sp=LEFTNAV-_-SUB_CATEGORY-_-SLEEPWEAR_&_INTIMATES
Anthropologie,SWIMWEAR,Swim & Activewear,Swim & Cover-Ups,http://www.anthropologie.com/anthro/category/clothing/shopsale-swimwear.jsp?cm_sp=LEFTNAV-_-SUB_CATEGORY-_-SWIMWEAR
Anthropologie,ACTIVEWEAR,ActiveWear,ActiveWear,http://www.anthropologie.com/anthro/category/clothing/shopsale-activewear.jsp?cm_sp=LEFTNAV-_-SUB_CATEGORY-_-ACTIVEWEAR
Anthropologie,Shoes,Shoes,Shoes,http://www.anthropologie.com/anthro/category/shoes/shopsale-shoes.jsp?cm_sp=TOPNAV-_-SHOPSALE-_-SHOPSALE-SHOES&cm_re=TOPNAV-_-SHOPSALE-_-SHOPSALE-SHOES
Anthropologie,Jewelry,Jewelry,Jewelry,http://www.anthropologie.com/anthro/category/accessories/shopsale-jewelry.jsp?cm_sp=LEFTNAV-_-SUB_CATEGORY-_-JEWELRY
Anthropologie,Bags & Wallets,Bags & Wallets,Bags,http://www.anthropologie.com/anthro/category/accessories/shopsale-bags.jsp?cm_sp=LEFTNAV-_-SUB_CATEGORY-_-BAGS_&_WALLETS
Anthropologie,Accessories,Accessories,Accessories,http://www.anthropologie.com/anthro/category/shoes/shopsale-shoes.jsp?cm_sp=TOPNAV-_-SHOPSALE-_-SHOPSALE-SHOES&cm_re=TOPNAV-_-SHOPSALE-_-SHOPSALE-SHOES
